RoleName,RoleArn,UnderCFN,CFNStackName
telus-sh-security-iam-role-jira-integration,arn:aws:iam::909180469036:role/security/telus-sh-security-iam-role-jira-integration,Yes,telus-iam-role-organizationsreadonly
telus-sh-security-iamrole-lambda-permissionset-report,arn:aws:iam::909180469036:role/security/telus-sh-security-iamrole-lambda-permissionset-report,Yes,IAMPermissionSetReportLambdaStack
telus-test-thong-multipleconditionsrole-codedeploy,arn:aws:iam::909180469036:role/telus-test-thong-multipleconditionsrole-codedeploy,No,
TELUS-TESTROLE-DEMO-1,arn:aws:iam::909180469036:role/testpath/TELUS-TESTROLE-DEMO-1,Yes,IamRoleConfigStack
TELUS-TESTROLE-DEMO-2,arn:aws:iam::909180469036:role/testpath/TELUS-TESTROLE-DEMO-2,Yes,IamRoleConfigStack
TELUS-TESTROLE-DEMO-3,arn:aws:iam::909180469036:role/testpath/TELUS-TESTROLE-DEMO-3,Yes,IamRoleConfigStack
TELUS-TESTROLE-DEMO-4,arn:aws:iam::909180469036:role/testpath/TELUS-TESTROLE-DEMO-4,Yes,IamRoleConfigStack
TELUS-TESTROLE-DEMO-5,arn:aws:iam::909180469036:role/TELUS-TESTROLE-DEMO-5,Yes,IamRoleConfigStack
tenant-iam-acmdnsvalidationrole,arn:aws:iam::909180469036:role/tenant-iam-acmdnsvalidationrole,No,
testrole,arn:aws:iam::909180469036:role/testrole,No,
testroleassume,arn:aws:iam::909180469036:role/testroleassume,No,
TurtleRoleManagement,arn:aws:iam::909180469036:role/TurtleRoleManagement,No,
workspaces_DefaultRole,arn:aws:iam::909180469036:role/workspaces_DefaultRole,No,
XenaAuditorRole-DO-NOT-DELETE,arn:aws:iam::909180469036:role/XenaAuditorRole-DO-NOT-DELETE,No,
